videoID,category,views,length
JahdnOQ9XCA,Entertainment,1613864,69
ihAoSwQqo44,Entertainment,1585001,232
M-ADZmCaVSA,Entertainment,1532853,219
O6iXhXj85bk,Entertainment,1512079,111
3f_7ZSQ3or4,Entertainment,1505579,159
YNJubcVFZz4,Entertainment,1493371,123
CkS2DJ6VX_g,Entertainment,1481931,30
BycvRfhFYlo,Entertainment,1480919,212
txfHVG3ioAs,Entertainment,1467031,143
60og9gwKh1o,Entertainment,1452178,98
Y2Oy8QOoIvA,Entertainment,1450177,95
CwUPAFFRMns,Entertainment,1412312,59
-ZT5mQLy5C4,Entertainment,1369567,75
kNxgxF-7SfA,Entertainment,1364197,30
NJz02Nh99Cs,Entertainment,1354655,25
DUaJLJlTZLk,Entertainment,1333416,108
XkHm8uUuT0o,Entertainment,1325446,171
K1lDBx1gBww,Entertainment,1325049,415
QDdkFkMUsMA,Entertainment,1321601,49
Vz8AuKmItwM,Entertainment,1321534,87
lbcltLf2VHo,Entertainment,1315392,280
0gmoXlNdElM,Entertainment,1308919,205
2fsOsguf0iA,Entertainment,1303342,157
Ll8Qm8yDj-8,Entertainment,1297005,217
LYpFyvyu6XE,Entertainment,1296186,22
VmZqH2cFRgw,Entertainment,1282238,131
QYFvMrIeBbg,Entertainment,1280084,292
S2n1_h3Bvt0,Entertainment,1271990,564
XnJAozfBq7w,Entertainment,1269841,225
c_18CZZwIvE,Entertainment,1254164,111
3OmpnfL5PCw,Entertainment,1251960,56
Ry7DvtXM6qI,Entertainment,1248996,158
c5P6MLiKEJI,Entertainment,1247356,130
vYdt32TVBzg,Entertainment,1239288,712
UY0xwRIGOdc,Entertainment,1233499,125
UnbnaT8If0Q,Entertainment,1220615,47
D5a1f9o-Qyo,Entertainment,1211928,56
Aam1pDl8wnM,Entertainment,1198882,303
sEEEhO8f_YI,Entertainment,1197301,66
p9vujyArcG4,Entertainment,1187604,205
I3l-gRHjUNk,Entertainment,1184938,87
sdUUx5FdySs,Film & Animation,5840839,189
6B26asyGKDo,Film & Animation,5147533,345
H20dhY01Xjk,Film & Animation,3772116,359
55YYaJIrmzo,Film & Animation,3356163,67
JzqumbhfxRo,Film & Animation,3230774,192
eAhfZUZiwSE,Film & Animation,3114215,78
h7svw0m-wO0,Film & Animation,2866490,209
tAq3hWBlalU,Film & Animation,2830024,186
AJzU3NjDikY,Film & Animation,2569611,302
ElrldD02if0,Film & Animation,2337238,318
12Z3J1uzd0Q,Film & Animation,2200478,615
hquCf-sS2sU,Film & Animation,1679051,100
PnCVZozHTG8,Film & Animation,1670515,142
o9698TqtY4A,Film & Animation,1544378,126
pYfTQpsErsM,Film & Animation,1533350,383
Jzx3uCmBIVs,Film & Animation,1531677,420
DbK1eCt97ag,Film & Animation,1489168,208
5BjrOi4vF24,Film & Animation,1421077,83
gwZD59Ic9T8,Film & Animation,1408524,113
jtzdxseO-gs,Film & Animation,1381367,349
fU1jTK5dRsM,Film & Animation,1376608,192
-_CUhQP2lJ4,Film & Animation,1334039,323
z8kJ6Ts4rG4,Film & Animation,1321350,124
zyyCcjbrWOM,Film & Animation,1239748,69
Gm6XszMrw9Y,Film & Animation,1227020,115
Za0m4Sl7FU0,Film & Animation,1172074,4941
qBXr15K2uSc,Film & Animation,1155234,307
UD3En9-HH54,Film & Animation,1154023,234
GUKRzyDMyfA,Film & Animation,1148884,17
qe8UDSdkDIU,Film & Animation,1137967,208
Aus7I7MhaOM,Film & Animation,1124082,238
M6ZjMWLqJvM,Film & Animation,1106827,404
2BN0a5UjQlE,Film & Animation,1105980,258
C8Mkm3QtwgE,Film & Animation,1057726,27
qC_-Nx2CWR4,Film & Animation,992184,64
EGggKaR5lRA,Film & Animation,980732,64
aApTio139yE,Film & Animation,951599,88
p2IoNygc-K0,Film & Animation,947036,207
EBcoo8i33L0,Film & Animation,938814,149
lGG8BKYqiiw,Film & Animation,936298,192
hBRjiLPNJAA,Film & Animation,927340,170
G0smntbxyJ8,Film & Animation,915376,554
xo7Cp3GsyxQ,Film & Animation,866326,97
6LV1SdOyx9U,Film & Animation,865317,91
IC41_2yBaiY,Film & Animation,809785,173
-dcmDscwEcI,Film & Animation,806383,103
MU9Ui4807r4,Film & Animation,782967,282
DbxN_TA28vM,Film & Animation,776754,70
sZ4S-MYoQKQ,Film & Animation,769403,100
topeBoB-ApQ,Film & Animation,768694,59
z8SYHxlH9mI,Film & Animation,764413,68
t7W3bxHFShw,Film & Animation,763738,48
1dCtzl6bGa8,Film & Animation,761868,1386
6qCSahatkbk,Film & Animation,730434,137
pJM39EytAYU,Film & Animation,715928,92
-3JCESdFNyw,Film & Animation,715000,302
MpO6nbuChLg,Film & Animation,687256,87
s3iyAFFElb4,Film & Animation,679469,67
X_WyObcPV_0,Film & Animation,664075,62
20Of_mna-Rs,Film & Animation,654457,620
7IbV7ad2xgY,Film & Animation,646015,91
dPv8psZsvIU,Film & Animation,643264,179
fYy1eD052As,Film & Animation,626472,125
PsrcVV7nsb8,Film & Animation,619397,140
r7Gn2TyEyHw,Film & Animation,613104,151
zRVts7TFw-Y,Film & Animation,607456,309
0vgDkev9NVw,Film & Animation,606702,64
Syxwkc36jas,Film & Animation,603937,309
Zkox6niJ1Wc,Film & Animation,602364,125
pfPUHPnRkSw,Film & Animation,591615,4941
JGLv3IEL0VI,Film & Animation,591394,1263
yuiG78Al3yc,Film & Animation,590507,93
ybDdUDdeuUo,Film & Animation,588460,68
i0tTTGH4Xi4,Film & Animation,585935,111
nwit7f9Q5Wo,Film & Animation,581008,655
CQXw71Akh8s,Film & Animation,580954,219
dyPhCO3LrtQ,Film & Animation,576846,224
utN_KNTkE9c,Film & Animation,573393,330
zaDYr284SUk,Film & Animation,570665,50
4C-u6kdHuXE,Film & Animation,565368,208
hbbfJClypYg,Film & Animation,563306,158
yj6cbM-h8xg,Film & Animation,551588,78
ttmszmNmpwU,Film & Animation,550403,1384
Jy09vLHkIes,Film & Animation,544237,593
ln5Bqv45uKI,Film & Animation,541613,111
